,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3374,2,998.0,67.0,1065.0,17,169.66,828.34,1,purple
3375,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3376,2,1277.0,89.0,1366.0,13,166.01,1110.99,1,purple
3377,1,959.0,89.0,1048.0,18,172.62,786.38,1,purple
3378,1,399.0,89.0,488.0,13,51.87,347.13,0,pink
3379,1,638.5,89.0,727.5,13,83.005,555.495,3,black
3380,1,697.0,79.0,776.0,18,125.46,571.54,3,black
3381,1,425.0,89.0,514.0,13,55.25,369.75,0,pink
3382,1,645.0,85.0,730.0,13,83.85,561.15,3,black
3383,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3384,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3385,1,959.0,89.0,1048.0,18,172.62,786.38,1,purple
3386,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3387,1,899.0,89.0,988.0,13,116.87,782.13,1,purple
3388,1,110.0,79.0,189.0,18,19.8,90.2,2,dark purple
3389,1,428.0,89.0,517.0,18,77.04,350.96,0,pink
3390,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3391,1,207.0,79.0,286.0,18,37.26,169.74,2,dark purple
3392,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3393,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3394,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3395,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3396,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3397,1,959.0,89.0,1048.0,18,172.62,786.38,1,purple
3398,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3399,1,200.0,79.0,279.0,13,26.0,174.0,2,dark purple
3400,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3401,1,661.0,69.0,730.0,17,112.37,548.63,3,black
3402,2,550.0,89.0,639.0,13,71.5,478.5,3,black
3403,1,640.0,89.0,729.0,17,108.8,531.2,3,black
3404,1,959.0,89.0,1048.0,18,172.62,786.38,1,purple
3405,1,554.0,79.0,633.0,17,94.18,459.82,3,black
3406,1,959.0,79.0,1038.0,18,172.62,786.38,1,purple
3407,1,364.0,89.0,453.0,13,47.32,316.68,0,pink
3408,1,550.0,89.0,639.0,13,71.5,478.5,3,black
3409,1,379.0,89.0,468.0,13,49.27,329.73,0,pink
3410,1,720.0,79.0,799.0,18,129.6,590.4,3,black
3411,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3412,1,1195.0,69.0,1264.0,13,155.35,1039.65,1,purple
3413,1,1199.0,79.0,1278.0,18,215.82,983.18,1,purple
3414,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3415,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3416,1,159.0,89.0,248.0,13,20.67,138.33,2,dark purple
